"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 11-Jun-2020","1W AGO 
 08-Jun-2020","1M AGO 
 15-May-2020","1Y AGO 
 14-Jun-2019","52W H 
","52W L 
","365 D % CHNG 
 14-Jun-2019","30 D % CHNG 
 15-May-2020"
"NIFTY 50","9,813.70","-1.60","9,919.35","9,943.35","9,726.35","9,972.90","9,902.00","10,167.45","9,136.85","11,823.30","12,430.50","7,511.10","-15.65","9.15"
"NIFTY NEXT 50","24,793.30","-0.90","25,053.30","25,203.35","24,698.50","25,018.75","24,768.80","-","23,177.80","27,093.00","29,259.50","18,384.05","-8.58","6.86"
"NIFTY 100","10,005.80","-1.50","10,113.40","10,141.15","9,924.10","10,158.30","10,082.10","10,346.70","9,320.60","11,899.35","12,544.40","7,624.85","-14.63","8.99"
"NIFTY 200","5,110.35","-1.47","5,166.55","5,181.65","5,072.75","5,186.50","5,144.75","5,267.90","4,752.45","6,103.95","6,421.10","3,893.05","-15.03","9.13"
"NIFTY 500","8,086.45","-1.34","8,171.75","8,196.40","8,030.40","8,196.40","8,137.00","-","7,504.05","9,669.95","10,174.95","6,151.60","-15.85","8.43"
"NIFTY MIDCAP 50","3,952.90","-1.67","4,017.00","4,043.30","3,944.50","4,020.05","3,944.55","3,955.60","3,618.50","4,853.85","5,073.95","2,855.35","-17.18","11.10"
"NIFTY MIDCAP 100","14,168.55","-1.19","14,352.20","14,452.05","14,143.25","14,339.35","14,157.80","-","12,992.05","17,564.55","18,495.90","10,749.95","-18.36","10.37"
"NIFTY SMALLCAP 100","4,409.60","0.37","4,416.95","4,452.40","4,380.20","4,393.50","4,398.35","4,477.70","3,935.10","6,298.10","6,401.10","3,202.90","-30.24","11.65"
"INDIA VIX","32.58","6.14","30.82","33.78","29.92","30.82","29.66","29.65","38.02","13.90","86.64","9.16","121.82","-18.93"
"NIFTY MIDCAP 150","5,369.45","-1.04","5,434.35","5,466.55","5,360.00","5,426.05","5,375.75","-","4,948.05","6,306.35","6,808.20","4,088.05","-13.96","9.66"
"NIFTY SMALLCAP 50","2,071.80","0.79","2,067.20","2,090.60","2,058.25","2,055.60","2,057.85","2,110.40","1,854.40","3,045.20","3,114.00","1,545.45","-32.42","10.97"
"NIFTY SMALLCAP 250","3,884.65","0.34","3,899.70","3,922.20","3,863.85","3,871.30","3,876.85","3,931.30","3,461.15","5,212.30","5,314.65","2,867.40","-25.62","12.01"
"NIFTY MIDSMALLCAP 400","4,834.95","-0.64","4,881.65","4,910.25","4,824.20","4,866.00","4,836.10","4,877.75","4,411.95","5,919.70","6,262.30","3,650.20","-17.80","10.29"
"NIFTY BANK","19,912.90","-3.59","20,457.15","20,470.85","19,740.20","20,654.55","20,525.15","-","18,833.95","30,614.35","32,613.10","16,116.25","-32.53","9.67"
