"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Jun-2019","30 D % CHNG 
 15-May-2020"
"NIFTY100 LOW VOLATILITY 30","8,119.90","8,136.15","8,005.25","8,129.25","8,043.80","-85.45","-1.05",180689213,"148,148,816,907.94","-","-","-7.98","7.85"
"WIPRO","211.95","217.90","208.15","207.90","213.30","5.40","2.60",14256050,"3,039,104,739.00","301.60","159.40","-30.42","13.11"
"HCLTECH","574.80","581.00","563.70","570.75","579.25","8.50","1.49",3787100,"2,175,726,821.00","623.50","375.25","-47.49","11.64"
"RELIANCE","1,565.00","1,626.95","1,561.10","1,588.80","1,612.30","23.50","1.48",24509162,"39,052,653,639.18","1,626.95","866.98","20.59","8.87"
"M&M","505.15","520.95","498.70","508.45","510.00","1.55","0.30",17605886,"9,022,488,398.42","675.30","245.40","-20.21","33.35"
"PIDILITIND","1,449.00","1,469.10","1,422.55","1,430.05","1,431.75","1.70","0.12",714226,"1,028,849,695.26","1,709.90","1,168.10","14.96","4.14"
"TCS","2,039.10","2,059.00","2,000.95","2,039.50","2,036.20","-3.30","-0.16",2399028,"4,864,700,997.84","2,296.20","1,506.05","-9.54","7.74"
"CIPLA","643.00","653.50","637.00","643.60","642.50","-1.10","-0.17",4520269,"2,917,878,842.19","669.75","355.30","15.84","12.85"
"BRITANNIA","3,351.00","3,406.50","3,343.45","3,366.05","3,355.00","-11.05","-0.33",609721,"2,055,674,351.50","3,708.00","2,100.00","13.56","7.69"
"DABUR","456.00","460.45","451.90","455.65","453.30","-2.35","-0.52",1990221,"906,824,296.44","525.00","376.85","13.76","2.65"
"MARICO","335.10","340.60","327.40","332.80","331.00","-1.80","-0.54",3105930,"1,035,703,417.80","404.00","234.00","-9.82","5.15"
"INFY","693.00","704.40","685.25","692.05","688.05","-4.00","-0.58",7857344,"5,441,603,587.20","847.00","509.25","-6.54","6.09"
"NESTLEIND","16,500.00","16,650.00","16,370.00","16,496.30","16,400.00","-96.30","-0.58",139654,"2,298,731,374.26","18,369.95","11,265.00","43.58","0.32"
"ASIANPAINT","1,629.00","1,650.65","1,602.10","1,637.35","1,617.00","-20.35","-1.24",1681190,"2,724,654,197.30","1,916.70","1,291.25","15.90","5.43"
"HINDUNILVR","2,114.85","2,131.70","2,056.80","2,107.25","2,079.50","-27.75","-1.32",2830788,"5,923,565,429.40","2,614.30","1,659.05","15.60","3.70"
"MARUTI","5,520.00","5,585.00","5,391.05","5,561.75","5,486.05","-75.70","-1.36",1530606,"8,395,404,522.12","7,758.70","4,001.10","-17.57","9.05"
"TECHM","557.00","560.50","543.40","554.70","547.00","-7.70","-1.39",3944764,"2,171,671,477.28","845.90","471.40","-25.07","8.65"
"ULTRACEMCO","3,726.45","3,768.65","3,688.00","3,788.55","3,735.00","-53.55","-1.41",440266,"1,642,108,529.46","4,754.10","2,910.00","-15.84","5.73"
"ACC","1,263.50","1,270.00","1,241.50","1,268.80","1,249.60","-19.20","-1.51",740591,"927,790,187.07","1,709.00","895.15","-18.09","6.25"
"COLPAL","1,365.00","1,368.00","1,325.70","1,354.45","1,332.95","-21.50","-1.59",995561,"1,332,339,375.08","1,642.60","1,065.00","16.77","0.20"
"POWERGRID","165.20","166.00","162.60","166.30","163.55","-2.75","-1.65",7781253,"1,277,292,679.95","216.25","122.15","-14.54","4.07"
"COALINDIA","134.70","135.00","130.50","134.65","132.35","-2.30","-1.71",8217883,"1,088,047,709.20","265.35","119.20","-47.23","3.90"
"BAJAJ-AUTO","2,774.00","2,774.00","2,707.95","2,782.15","2,732.10","-50.05","-1.80",517426,"1,413,825,150.92","3,315.15","1,788.65","-3.15","4.45"
"HEROMOTOCO","2,394.95","2,394.95","2,316.00","2,401.85","2,348.00","-53.85","-2.24",1416149,"3,330,357,603.30","3,022.90","1,475.00","-10.05","9.50"
"HDFC","1,786.95","1,805.25","1,726.00","1,792.20","1,752.00","-40.20","-2.24",5082387,"8,905,358,501.40","2,499.90","1,473.45","-18.01","9.70"
"KOTAKBANK","1,270.00","1,271.15","1,237.20","1,279.80","1,250.00","-29.80","-2.33",7553579,"9,421,654,622.49","1,740.00","1,001.00","-13.17","8.61"
"LT","921.80","929.45","894.10","926.40","903.95","-22.45","-2.42",4982534,"4,496,388,157.62","1,591.65","661.00","-39.30","7.17"
"BOSCHLTD","10,880.00","10,989.65","10,565.25","10,913.35","10,620.60","-292.75","-2.68",30417,"326,924,349.36","17,260.30","7,850.00","-35.47","13.88"
"HDFCBANK","968.00","974.00","943.00","982.75","951.75","-31.00","-3.15",16004973,"15,278,827,374.99","1,305.50","738.75","-59.64","10.65"
"ITC","193.90","193.95","186.30","193.90","187.50","-6.40","-3.30",24463651,"4,621,917,583.43","282.90","134.60","-30.26","17.76"
"NTPC","96.70","96.95","92.60","96.90","93.30","-3.60","-3.72",10980604,"1,030,749,297.48","145.85","73.20","-27.01","6.66"
