"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Jun-2019","30 D % CHNG 
 15-May-2020"
"NIFTY200 QUALITY 30","9,025.05","9,050.85","8,879.55","9,019.55","8,907.20","-112.35","-1.25",114716318,"78,745,467,571.74","-","-","-6.53","6.95"
"HCLTECH","574.80","581.00","563.70","570.75","579.25","8.50","1.49",3787100,"2,175,726,821.00","623.50","375.25","-47.49","11.64"
"MINDTREE","904.10","931.40","902.15","914.00","921.40","7.40","0.81",885236,"814,275,482.24","1,062.80","652.05","-5.88","7.26"
"PIDILITIND","1,449.00","1,469.10","1,422.55","1,430.05","1,431.75","1.70","0.12",714226,"1,028,849,695.26","1,709.90","1,168.10","14.96","4.14"
"GODREJCP","611.10","611.70","596.35","606.80","606.50","-0.30","-0.05",1878477,"1,133,210,035.02","772.00","425.10","-8.50","11.65"
"BERGEPAINT","500.05","508.90","492.75","501.65","501.05","-0.60","-0.12",1382373,"691,919,157.69","597.00","300.10","53.06","11.27"
"TCS","2,039.10","2,059.00","2,000.95","2,039.50","2,036.20","-3.30","-0.16",2399028,"4,864,700,997.84","2,296.20","1,506.05","-9.54","7.74"
"IBULHSGFIN","153.00","159.40","150.30","153.45","153.05","-0.40","-0.26",27221400,"4,206,795,156.00","745.45","81.00","-77.17","14.99"
"BRITANNIA","3,351.00","3,406.50","3,343.45","3,366.05","3,355.00","-11.05","-0.33",609721,"2,055,674,351.50","3,708.00","2,100.00","13.56","7.69"
"DABUR","456.00","460.45","451.90","455.65","453.30","-2.35","-0.52",1990221,"906,824,296.44","525.00","376.85","13.76","2.65"
"MARICO","335.10","340.60","327.40","332.80","331.00","-1.80","-0.54",3105930,"1,035,703,417.80","404.00","234.00","-9.82","5.15"
"INFY","693.00","704.40","685.25","692.05","688.05","-4.00","-0.58",7857344,"5,441,603,587.20","847.00","509.25","-6.54","6.09"
"NESTLEIND","16,500.00","16,650.00","16,370.00","16,496.30","16,400.00","-96.30","-0.58",139654,"2,298,731,374.26","18,369.95","11,265.00","43.58","0.32"
"IGL","482.00","485.90","470.50","482.00","476.20","-5.80","-1.20",2596273,"1,240,031,910.26","534.20","284.05","43.75","5.56"
"ASIANPAINT","1,629.00","1,650.65","1,602.10","1,637.35","1,617.00","-20.35","-1.24",1681190,"2,724,654,197.30","1,916.70","1,291.25","15.90","5.43"
"HINDUNILVR","2,114.85","2,131.70","2,056.80","2,107.25","2,079.50","-27.75","-1.32",2830788,"5,923,565,429.40","2,614.30","1,659.05","15.60","3.70"
"MARUTI","5,520.00","5,585.00","5,391.05","5,561.75","5,486.05","-75.70","-1.36",1530606,"8,395,404,522.12","7,758.70","4,001.10","-17.57","9.05"
"TECHM","557.00","560.50","543.40","554.70","547.00","-7.70","-1.39",3944764,"2,171,671,477.28","845.90","471.40","-25.07","8.65"
"COLPAL","1,365.00","1,368.00","1,325.70","1,354.45","1,332.95","-21.50","-1.59",995561,"1,332,339,375.08","1,642.60","1,065.00","16.77","0.20"
"COALINDIA","134.70","135.00","130.50","134.65","132.35","-2.30","-1.71",8217883,"1,088,047,709.20","265.35","119.20","-47.23","3.90"
"BAJAJ-AUTO","2,774.00","2,774.00","2,707.95","2,782.15","2,732.10","-50.05","-1.80",517426,"1,413,825,150.92","3,315.15","1,788.65","-3.15","4.45"
"SUNTV","383.00","386.50","369.15","380.80","373.70","-7.10","-1.86",3372878,"1,272,114,666.48","551.30","259.55","-27.34","-1.44"
"EICHERMOT","16,599.95","17,351.00","16,276.10","16,857.30","16,525.00","-332.30","-1.97",536518,"8,991,295,919.98","23,450.00","12,450.10","-14.72","19.56"
"HAVELLS","552.00","556.65","537.20","551.65","540.00","-11.65","-2.11",2383482,"1,301,095,154.16","806.85","447.05","-29.07","13.31"
"HEROMOTOCO","2,394.95","2,394.95","2,316.00","2,401.85","2,348.00","-53.85","-2.24",1416149,"3,330,357,603.30","3,022.90","1,475.00","-10.05","9.50"
"BOSCHLTD","10,880.00","10,989.65","10,565.25","10,913.35","10,620.60","-292.75","-2.68",30417,"326,924,349.36","17,260.30","7,850.00","-35.47","13.88"
"DIVISLAB","2,408.95","2,449.60","2,322.45","2,395.10","2,329.85","-65.25","-2.72",1261594,"2,994,216,735.84","2,537.95","1,466.00","57.33","2.57"
"TITAN","979.95","986.55","945.00","977.70","947.05","-30.65","-3.13",3823675,"3,663,730,674.75","1,389.95","720.90","-23.73","15.62"
"EXIDEIND","155.00","155.20","149.00","154.55","149.60","-4.95","-3.20",3096525,"467,915,892.75","210.45","124.70","-24.98","-0.16"
"ITC","193.90","193.95","186.30","193.90","187.50","-6.40","-3.30",24463651,"4,621,917,583.43","282.90","134.60","-30.26","17.76"
"PAGEIND","18,500.00","18,610.70","17,652.65","18,548.20","17,845.00","-703.20","-3.79",46228,"832,344,847.88","26,882.60","16,254.00","-8.25","5.13"
